bestsellers-rank,description,isbn10,isbn13,lang,publication-date,rating-avg,rating-count,title,author_names,category_names,format_name,tags
664856.0,"How did my life get so broken? It's a question Lacey St. James asks herself every day. Stuck raising her little brother in a trailer park while she works a dead end job at a grocery store, she has a stalker ex boyfriend, a bad reputation, and no way out. And then she meets Everett, who changes her entire existence. Everett is an outsider who is house-sitting his family's mansion off the coast, and for reasons Lacey can't understand, he's completely captivated by her. He seems determined to show her that life can offer more than she'd ever hoped for, if only she believes in herself. She desperately yearns to trust him, but what happens when she finds out that everything he's told her is a lie?",1250048516,9781250048516,en,2014-08-28 00:00:00,3.75,3772.0,Breathe into Me,SaraFawkes,Contemporary Fiction | Romance | Romance Books | Adult & Contemporary Romance | Adult & Contemporary Romance,Paperback,sarafawkes contemporary fiction romance romance books adult contemporary romance adult contemporary romance how did my life get so broken its a question lacey st james asks herself every day stuck raising her little brother in a trailer park while she works a dead end job at a grocery store she has a stalker ex boyfriend a bad reputation and no way out and then she meets everett who changes her entire existence everett is an outsider who is housesitting his familys mansion off the coast and for reasons lacey cant understand hes completely captivated by her he seems determined to show her that life can offer more than shed ever hoped for if only she believes in herself she desperately yearns to trust him but what happens when she finds out that everything hes told her is a lie
2202607.0,"With the end of apartheid rule in South Africa and the ongoing economic crisis in Zimbabwe, the border between these Southern African countries has become one of the busiest inland ports of entry in the world. As border crossers wait for clearance, crime, violence, and illegal entries have become rampant. Francis Musoni observes that border jumping has become a way of life for many of those who live on both sides of the Limpopo River and he explores the reasons for this, including searches for better paying jobs and access to food and clothing at affordable prices. Musoni sets these actions into a framework of illegality. He considers how countries have failed to secure their borders, why passports are denied to travelers, and how border jumping has become a phenomenon with a long history, especially in Africa. Musoni emphasizes cross-border travelers' active participation in the making of this history and how clandestine mobility has presented opportunity and creative possibilities for those who are willing to take the risk.",253047153,9780253047151,en,2020-04-07 00:00:00,4.0,,Border Jumping and Migration Control in Southern Africa,FrancisMusoni,"African History | Migration, Immigration & Emigration | Human Geography",Paperback,francismusoni african history migration immigration emigration human geography with the end of apartheid rule in south africa and the ongoing economic crisis in zimbabwe the border between these southern african countries has become one of the busiest inland ports of entry in the world as border crossers wait for clearance crime violence and illegal entries have become rampant francis musoni observes that border jumping has become a way of life for many of those who live on both sides of the limpopo river and he explores the reasons for this including searches for better paying jobs and access to food and clothing at affordable prices musoni sets these actions into a framework of illegality he considers how countries have failed to secure their borders why passports are denied to travelers and how border jumping has become a phenomenon with a long history especially in africa musoni emphasizes crossborder travelers active participation in the making of this history and how clandestine mobility has presented opportunity and creative possibilities for those who are willing to take the risk
1264848.0,"The unique perspective of the """"other witnesses"""" included here - that of immigrant outsiders, foreigners who wrote primarily for a minority-language group in the United States - provides the reader with a new understanding of this important period of America's growth and development. Included are works by Christian Essellen, Reinhold Solger, Mathilde Franziska Anneke, Theodor Kirchhoff, Udo Brachvogel, Robert Reitzel, Julius Gugler, Edna Fern, Lotte Leser, and others: plays, short stories, and poems, as well as selections from novels, essays, and memoirs. Some of the texts have never appeared in book form, and still others are published here for the first time. Introductory essays to each chapter provide background information and point the way for further research. The volume will be a welcome addition to the collections of institutional libraries, historians, and Germanists alike.",924119411,9780924119415,en,2007-07-30 00:00:00,3.5,4.0,"Other Witnesses : An Anthology of Literature of the German Americans, 1850-1914",CoraLeeKluge,Anthologies (non-poetry) | Literary Studies: General | History Of The Americas | Ethnic Studies,Hardback,coraleekluge anthologies nonpoetry literary studies general history of the americas ethnic studies the unique perspective of the other witnesses included here that of immigrant outsiders foreigners who wrote primarily for a minoritylanguage group in the united states provides the reader with a new understanding of this important period of americas growth and development included are works by christian essellen reinhold solger mathilde franziska anneke theodor kirchhoff udo brachvogel robert reitzel julius gugler edna fern lotte leser and others plays short stories and poems as well as selections from novels essays and memoirs some of the texts have never appeared in book form and still others are published here for the first time introductory essays to each chapter provide background information and point the way for further research the volume will be a welcome addition to the collections of institutional libraries historians and germanists alike
,Details NASA's mishaps with plutonium-fueled missions and its unrealistic calculations about the probability of a major accident,1567511252,9781567511253,en,1997-12-31 00:00:00,2.33,3.0,Wrong Stuff : The Space Program's Nuclear Threat to Our Planet,KarlGrossman,"Science: General Issues | Environmental Science, Engineering & Technology | Aerospace & Aviation Technology | Safety In The Home | Popular Astronomy & Space",Hardback,karlgrossman science general issues environmental science engineering technology aerospace aviation technology safety in the home popular astronomy space details nasas mishaps with plutoniumfueled missions and its unrealistic calculations about the probability of a major accident
1011040.0,"Li-Young Lee is a leading American poet, born in Indonesia, whose poetry fuses memory, family, culture and history to explore love, exile, family and mortality. This selection, drawn from three collections and a memoir, shows Lee searching for understanding and for the right language to give form to what is invisible and evanescent.",1852246987,9781852246983,en,2007-01-10 00:00:00,4.36,53.0,From Blossoms,Li-YoungLee,Poetry By Individual Poets,Paperback,liyounglee poetry by individual poets liyoung lee is a leading american poet born in indonesia whose poetry fuses memory family culture and history to explore love exile family and mortality this selection drawn from three collections and a memoir shows lee searching for understanding and for the right language to give form to what is invisible and evanescent
,"Exciting Golden Age Superhero ActionFrom 1942-1946, through 33 issues, through World War Two and beyond, Cat-Man and his large cadre of back-up features, entertained the youth (and adults) of America, and saved the country and the world from the forces of evil!The comic reprints from are reproduced from actual classic comics, and sometimes reflect the imperfection of books that are decades old",197388593X,9781973885931,en,2017-07-28 00:00:00,4.0,,Cat-Man Comics #7,HolyokePublishing IsraelEscamilla,Graphic Novels: Superheroes | Graphic Novels: Superheroes,Paperback,holyokepublishing israelescamilla graphic novels superheroes graphic novels superheroes exciting golden age superhero actionfrom 19421946 through 33 issues through world war two and beyond catman and his large cadre of backup features entertained the youth and adults of america and saved the country and the world from the forces of evilthe comic reprints from are reproduced from actual classic comics and sometimes reflect the imperfection of books that are decades old
1826638.0,"There's more to cookies than initially meets the eye. A cookie is actually a delicious blank canvas for hungry kids, cookie swap participants and aspiring confectionary artists alike. This book is jam packed with delicious cookies recipes, which were selected for their visual appeal as much as their flavor, and top tips for cookie decoration. A beautifully crafted cookie is a work of art and beloved by all. Still-warm cookies fresh from the oven are irresistibly enticing but decorating the treats doubles the fun. Whether it's a cookie exchange, holiday gathering, or Mother's Day tea, these cookies promise exceptional flavor and a stunning visual that will be a memorable addition to any occasion. With gorgeous, colorful photographs throughout this book has all the encouragement and know-how you'll need to create artful cookies that look as if they were purchased from a pastry shop and taste like it too.",1616289740,9781616289744,en,2015-10-26 00:00:00,4.12,98.0,The Art of the Cookie : Baking Up Inspiration by the Dozen,ShellyKaldunski,"Cakes, Baking, Icing & Sugarcraft",Hardback,shellykaldunski cakes baking icing sugarcraft theres more to cookies than initially meets the eye a cookie is actually a delicious blank canvas for hungry kids cookie swap participants and aspiring confectionary artists alike this book is jam packed with delicious cookies recipes which were selected for their visual appeal as much as their flavor and top tips for cookie decoration a beautifully crafted cookie is a work of art and beloved by all stillwarm cookies fresh from the oven are irresistibly enticing but decorating the treats doubles the fun whether its a cookie exchange holiday gathering or mothers day tea these cookies promise exceptional flavor and a stunning visual that will be a memorable addition to any occasion with gorgeous colorful photographs throughout this book has all the encouragement and knowhow youll need to create artful cookies that look as if they were purchased from a pastry shop and taste like it too
284962.0,The sculptural flowering of the Italian Baroque - the sensuous beauty of Bernini's Apollo and Daphne; the spectacular papal tombs in St Peter's; dramatic altarpieces such as the mystical Ecstasy of St Teresa; and Rome's dazzling fountains - boldly transcended the traditional limitations of artistic media.,500203075,9780500203071,en,1998-03-02 00:00:00,3.93,28.0,Italian Baroque Sculpture,BruceBoucher,Styles: Baroque | Sculpture | European History,Paperback,bruceboucher styles baroque sculpture european history the sculptural flowering of the italian baroque the sensuous beauty of berninis apollo and daphne the spectacular papal tombs in st peters dramatic altarpieces such as the mystical ecstasy of st teresa and romes dazzling fountains boldly transcended the traditional limitations of artistic media
670964.0,"In Interactive Notebooks: Language Arts for kindergarten, students will complete hands-on activities about short vowel sounds, sight words, nouns, antonyms, punctuation, parts of a book, and more. The Interactive Notebooks series spans kindergarten to grade 5. Each 96-page book contains a guide for teachers who are new to interactive note taking, lesson plans and reproducibles for creating notebook pages on a variety of topics, and generic reproducibles for creating even more notebook pages. The books focus on grade-specific math or language arts skills and are aligned to current state standards.",1483824675,9781483824673,en,2015-08-10 00:00:00,4.0,1.0,"Language Arts, Grade K",Carson-DellosaPublishing,Primary & Middle Schools | Primary & Middle Schools | Teaching Of A Specific Subject | Teaching Of A Specific Subject | English Language: Reading & Writing Skills,Paperback,carsondellosapublishing primary middle schools primary middle schools teaching of a specific subject teaching of a specific subject english language reading writing skills in interactive notebooks language arts for kindergarten students will complete handson activities about short vowel sounds sight words nouns antonyms punctuation parts of a book and more the interactive notebooks series spans kindergarten to grade 5 each 96page book contains a guide for teachers who are new to interactive note taking lesson plans and reproducibles for creating notebook pages on a variety of topics and generic reproducibles for creating even more notebook pages the books focus on gradespecific math or language arts skills and are aligned to current state standards
77712.0,"Mental maths skills are essential for all age groups and this series of six books provides lots and lots of practice of number facts to make sure children are really up to speed with their mental maths! Each page features four columns of mental maths questions that children are challenged to complete in less than one minute. Answers are provided, also arranged in columns for ease of marking. When used on a regular basis, improvements in accuracy and speed will soon begin to show.",713686480,9780713686487,en,2007-07-31 00:00:00,4.0,,Mental Maths Every Day 9-10,AndrewBrodie,Mathematics & Numeracy,Paperback,andrewbrodie mathematics numeracy mental maths skills are essential for all age groups and this series of six books provides lots and lots of practice of number facts to make sure children are really up to speed with their mental maths each page features four columns of mental maths questions that children are challenged to complete in less than one minute answers are provided also arranged in columns for ease of marking when used on a regular basis improvements in accuracy and speed will soon begin to show
